Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
50,2021.0,549,468,7015,2,1,34,1,8,7.2,9693,430,4,6,4,5,30888.0
69,2022.0,758,226,7759,2,1,18,2,3,3.3,4631,237,3,3,5,5,39990.0
36,2014.0,387,468,2954,2,1,62,0,1,7.5,2481,61,6,6,4,5,24990.0
28,2022.0,181,468,7346,2,1,25,2,8,7.3,5922,289,4,6,4,5,39990.0
40,2015.0,616,468,3498,2,1,62,0,1,8.8,2606,61,6,6,4,7,54990.0
43,2022.0,762,27,7478,0,1,25,2,8,7.1,3155,213,4,6,4,5,23690.0
50,2015.0,698,569,3603,2,2,34,0,1,7.2,3384,498,4,8,4,5,28990.0
48,2009.0,265,474,1151,2,1,96,4,7,11.0,13878,59,8,7,4,5,34990.0
69,2023.0,401,381,8454,2,1,0,4,1,7.663150894460331,13166,649,0,0,0,0,79800.0
37,2013.0,588,226,2468,2,2,24,2,8,5.7,2146,558,4,3,5,5,11490.0
69,2019.0,231,226,6140,2,1,30,2,8,6.0,4352,596,4,3,5,5,18995.0
69,2017.0,401,153,4872,2,1,40,4,1,8.7,3707,729,4,0,4,2,34995.0
27,2010.0,225,586,1345,2,1,62,4,8,9.3,5537,596,6,9,4,5,7995.0
69,2018.0,404,569,5570,2,1,38,0,1,8.5,8474,596,4,8,4,5,49913.0
